,year,month,tmp_min,tmp_max,tmp_ave,prcp,srad,frost_days
13,2018,1,1.96129032258065,13.978064516129,7.96967741935484,3.61387096774194,10.4752050984058,7.67741935483871
14,2018,2,13.4264285714286,22.4942857142857,17.9603571428571,7.28107142857143,9.97547806844809,0
15,2018,3,10.1954838709677,22.0638709677419,16.1296774193548,5.11806451612903,16.5885201547396,0
16,2018,4,11.059,24.0023333333333,17.5306666666667,6.39066666666667,20.6677858783289,0
17,2018,5,18.951935483871,30.8658064516129,24.9088709677419,3.4741935483871,19.1121736761604,0
18,2018,6,23.1133333333333,32.4966666666667,27.805,3.727,17.9166715664641,0
19,2018,7,23.218064516129,32.9977419354839,28.1079032258065,9.0441935483871,17.9214616264758,0
20,2018,8,22.7974193548387,31.9812903225806,27.3893548387097,8.36903225806452,15.8664989592512,0
21,2018,9,23.0993333333333,31.84,27.4696666666667,8.499,13.5339969950523,0
22,2018,10,17.5948387096774,28.1112903225806,22.853064516129,2.79612903225806,13.1599357990214,0
23,2018,11,7.838,19.3143333333333,13.5761666666667,5.79866666666667,10.4842265957116,0
24,2018,12,8.12387096774193,17.6229032258064,12.8733870967742,6.98,7.99070874462924,0
25,2019,1,4.87967741935484,16.1754838709677,10.5275806451613,4.15,10.1570348756949,1.84064516129032
26,2019,2,12.2007142857143,20.7453571428571,16.4730357142857,4.31,10.0977386610733,0
27,2019,3,9.35677419354839,20.8470967741935,15.101935483871,2.06677419354839,17.6685460494493,0
28,2019,4,13.072,24.619,18.8455,5.29033333333333,18.4858702341511,0
29,2019,5,19.6035483870968,29.7041935483871,24.6538709677419,4.6658064516129,18.8543774468371,0
30,2019,6,22.289,32.254,27.2715,3.98533333333333,18.6868636601978,0
31,2019,7,23.0048387096774,32.7312903225806,27.868064516129,7.65612903225806,18.0705467920333,0
32,2019,8,23.181935483871,33.0412903225806,28.1116129032258,8.05387096774194,16.5258992548479,0
33,2019,9,22.0933333333333,33.5086666666667,27.801,1.054,16.87385708402,0
34,2019,10,16.7951612903226,27.5735483870968,22.1843548387097,10.208064516129,12.1585514028621,0
35,2019,11,6.49366666666667,20.5586666666667,13.5261666666667,1.16466666666667,11.8513637447436,0
36,2019,12,8.1,18.3554838709677,13.2277419354839,1.97258064516129,8.07381642399511,0
37,2020,1,7.88451612903226,17.908064516129,12.8962903225806,4.2958064516129,9.5216246479488,0
38,2020,2,8.03275862068966,19.1075862068966,13.5701724137931,3.81103448275862,12.8566869682992,0
39,2020,3,15.5854838709677,25.3261290322581,20.4558064516129,0.578387096774194,15.2581071679985,0
40,2020,4,14.0176666666667,26.1583333333333,20.088,2.36733333333333,20.6380835837733,0
41,2020,5,17.3625806451613,28.5383870967742,22.9504838709677,2.10516129032258,19.4872265794227,0
42,2020,6,22.0616666666667,31.2536666666667,26.6576666666667,11.7833333333333,18.2573878394306,0
43,2020,7,23.5451612903226,31.9854838709677,27.7653225806452,8.98225806451613,16.1892497592961,0
44,2020,8,23.2954838709677,33.1125806451613,28.2040322580645,3.59064516129032,17.8279769924941,0
45,2020,9,21.7003333333333,30.135,25.9176666666667,2.087,14.0090103009422,0
46,2020,10,17.1487096774194,28.3222580645161,22.7354838709677,3.24838709677419,13.5881457061727,0
47,2020,11,12.6116666666667,24.577,18.5943333333333,3.34533333333333,10.5008721612028,0
48,2020,12,4.91766666666667,17.641,11.2793333333333,3.328,9.827194443108,1.76466666666667
49,2021,1,5.32258064516129,16.5548387096774,10.9387096774194,1.32709677419355,9.90502936663892,0.95483870967742
50,2021,2,5.08607142857143,16.3303571428571,10.7082142857143,4.56964285714286,12.0093424570504,1.42785714285714
51,2021,3,12.3567741935484,22.9274193548387,17.6420967741935,6.26645161290323,14.4915498879234,0
52,2021,4,13.0903333333333,23.804,18.4471666666667,14.7563333333333,18.2123634686933,0
53,2021,5,17.9325806451613,27.6206451612903,22.7766129032258,7.77193548387097,18.9808687502291,0
54,2021,6,22.5336666666667,30.9586666666667,26.7461666666667,13.97,16.6807881513907,0
55,2021,7,23.3125806451613,31.9274193548387,27.62,10.4203225806452,17.0424597070277,0
56,2021,8,23.1841935483871,32.7348387096774,27.9595161290323,14.41,16.4401083043688,0
57,2021,9,20.6063333333333,29.9006666666667,25.2535,9.26433333333333,14.584502629616,0
58,2021,10,17.2506451612903,27.458064516129,22.3543548387097,4.17838709677419,13.1917772520615,0
59,2021,11,7.83766666666667,21.2723333333333,14.555,0.793333333333333,11.9939538233791,0
60,2021,12,12.2377419354839,22.0535483870968,17.1456451612903,3.14290322580645,7.66850001471779,0
61,2022,1,3.09096774193548,15.9867741935484,9.53887096774194,2.01,10.153409411933,5.41806451612903
62,2022,2,6.44857142857143,18.8403571428571,12.6444642857143,3.74392857142857,12.3631142017417,0
63,2022,3,9.56709677419355,23.0516129032258,16.3093548387097,4.74967741935484,16.2953193225665,0
64,2022,4,14.2403333333333,25.924,20.0821666666667,2.91566666666667,18.2251149734578,0
65,2022,5,20.0045161290323,30.7403225806452,25.3724193548387,6.56161290322581,18.5268623446582,0
66,2022,6,23.2363333333333,33.9036666666667,28.57,5.38466666666667,19.1630088668848,0
67,2022,7,23.8274193548387,32.8635483870968,28.3454838709677,7.15709677419355,15.9522724373544,0
68,2022,8,23.3674193548387,31.8912903225806,27.6293548387097,11.7093548387097,14.5518877350664,0
69,2022,9,19.733,31.5566666666667,25.6448333333333,1.077,17.9074395508903,0
70,2022,10,12.2687096774194,26.6738709677419,19.4712903225806,2.38677419354839,14.3646106172484,0
71,2022,11,10.4833333333333,21.5943333333333,16.0388333333333,4.99866666666667,9.72734744169689,0
72,2022,12,8.39677419354839,18.2435483870968,13.3201612903226,5.1858064516129,8.64407482441197,0
73,2023,1,8.14548387096774,19.9477419354839,14.0466129032258,3.52838709677419,9.95907739877378,0
74,2023,2,11.5,21.3642857142857,16.4321428571429,3.24892857142857,11.0306535784383,0
75,2023,3,12.6483870967742,23.7016129032258,18.175,3.39483870967742,16.1791966501686,0
76,2023,4,15.0586666666667,25.3296666666667,20.1941666666667,4.02033333333333,18.2358917553956,0
77,2023,5,18.7396774193548,29.6045161290323,24.1720967741935,4.70258064516129,19.5187045496287,0
78,2023,6,22.1843333333333,33.2256666666667,27.705,4.86,19.1001851975021,0
79,2023,7,24.1058064516129,34.7012903225806,29.4035483870968,4.18935483870968,18.2457306463118,0
80,2023,8,25.2654838709677,36.6816129032258,30.9735483870968,1.57967741935484,17.7377950929938,0
81,2023,9,21.5123333333333,32.7433333333333,27.1278333333333,2.406,15.442988666611,0
82,2023,10,14.5935483870968,26.9058064516129,20.7496774193548,0.615806451612903,14.0559243344637,0
83,2023,11,9.851,21.0586666666667,15.4548333333333,2.625,9.78614863566978,0
84,2023,12,7.09,18.571935483871,12.8309677419355,6.69516129032258,9.6729908857205,0